moved_to,original
Girlfriend\GF Selfie outdoors together DJI_20260820184558_0868_D.MP4,DJI_20260820184558_0868_D.MP4
_to_delete\DJI_20260820184630_0869_D.MP4,DJI_20260820184630_0869_D.MP4
Girlfriend\GF Her walking on the road DJI_20260820184633_0870_D.MP4,DJI_20260820184633_0870_D.MP4
"Girlfriend\GF Walking POV, road DJI_20260820184643_0871_D.MP4",DJI_20260820184643_0871_D.MP4
Girlfriend\GF Her walking on the road 2 DJI_20260820184655_0872_D.MP4,DJI_20260820184655_0872_D.MP4
Girlfriend\GF Her dancing on the road DJI_20260820184706_0873_D.MP4,DJI_20260820184706_0873_D.MP4
_to_delete\DJI_20260820184714_0874_D.MP4,DJI_20260820184714_0874_D.MP4
Girlfriend\GF Selfie outdoors together 2 DJI_20260820184719_0875_D.MP4,DJI_20260820184719_0875_D.MP4
_to_delete\DJI_20260820184743_0876_D.MP4,DJI_20260820184743_0876_D.MP4
Girlfriend\GF Her in a shop DJI_20260820190733_0877_D.MP4,DJI_20260820190733_0877_D.MP4
Girlfriend\GF Her in a shop 2 DJI_20260820190849_0878_D.MP4,DJI_20260820190849_0878_D.MP4
_to_delete\DJI_20260820190935_0879_D.MP4,DJI_20260820190935_0879_D.MP4
"Girlfriend\GF Night, too dark DJI_20260820194723_0880_D.MP4",DJI_20260820194723_0880_D.MP4
"Girlfriend\GF Night, too dark, her in frame DJI_20260820194817_0881_D.MP4",DJI_20260820194817_0881_D.MP4
"Girlfriend\GF Night, too dark 2 DJI_20260820194831_0882_D.MP4",DJI_20260820194831_0882_D.MP4
Unsorted\UNS Selfie in the room with someone DJI_20260821101022_0883_D.MP4,DJI_20260821101022_0883_D.MP4
"Desk and Setup\DSK-00 Wide shot working, clock and frame in view DJI_20260823094509_0911_D.MP4",DJI_20260823094509_0911_D.MP4
Desk and Setup\DSK-03 Over-the-shoulder at desk DJI_20260829081659_0912_D.MP4,DJI_20260829081659_0912_D.MP4
"Desk and Setup\DSK-03 Over-the-shoulder at desk, closer DJI_20260829100306_0913_D.MP4",DJI_20260829100306_0913_D.MP4
"Desk and Setup\DSK-07 Top-down of desk, editing, headphones DJI_20260830163556_0914_D.MP4",DJI_20260830163556_0914_D.MP4
"Voice over videos\VO Top-down, talking with phone in hand DJI_20260831062413_0915_D.MP4",DJI_20260831062413_0915_D.MP4
"Voice over videos\VO Top-down, talking with phone in hand 2 DJI_20260831062518_0916_D.MP4",DJI_20260831062518_0916_D.MP4
"Desk and Setup\DSK-07 Top-down of desk, editing, short DJI_20260831062711_0917_D.MP4",DJI_20260831062711_0917_D.MP4
"Desk and Setup\DSK-07 Top-down of desk, editing 2 DJI_20260831062917_0918_D.MP4",DJI_20260831062917_0918_D.MP4
"Desk and Setup\DSK-07 Top-down of desk, editing 3 DJI_20260831110825_0919_D.MP4",DJI_20260831110825_0919_D.MP4
Eating\EAT-01 Eating rice DJI_20260831125452_0921_D.MP4,DJI_20260831125452_0921_D.MP4
"Eating\EAT-00 Making coffee, jar and mug DJI_20260831142644_0922_D.MP4",DJI_20260831142644_0922_D.MP4
Eating\EAT-00 Stirring coffee DJI_20260831142908_0923_D.MP4,DJI_20260831142908_0923_D.MP4
Eating\EAT-00 Coffee jar by keyboard DJI_20260831142938_0924_D.MP4,DJI_20260831142938_0924_D.MP4
Eating\EAT-00 Coffee steaming by jar DJI_20260831142944_0925_D.MP4,DJI_20260831142944_0925_D.MP4
Eating\EAT-00 Coffee steaming close DJI_20260831142955_0926_D.MP4,DJI_20260831142955_0926_D.MP4
"Eating\EAT-00 Coffee mug, pan to desk DJI_20260831143000_0927_D.MP4",DJI_20260831143000_0927_D.MP4
"Voice over videos\VO At desk with red mug, talking DJI_20260831143352_0928_D.MP4",DJI_20260831143352_0928_D.MP4
"Desk and Setup\DSK-07 Top-down of desk, editing, long DJI_20260831144028_0929_D.MP4",DJI_20260831144028_0929_D.MP4
"Desk and Setup\DSK-07 Top-down of desk, editing 4 DJI_20260831144324_0930_D.MP4",DJI_20260831144324_0930_D.MP4
Bathroom\HYG-01 Brushing teeth at mirror DJI_20260903081624_0967_D.MP4,DJI_20260903081624_0967_D.MP4
Bathroom\HYG-01 Brushing teeth side DJI_20260903081643_0968_D.MP4,DJI_20260903081643_0968_D.MP4
Research\RES-02 Watching a tutorial on the monitor DJI_20260903082650_0969_D.MP4,DJI_20260903082650_0969_D.MP4
"Voice over videos\VO Red shirt at desk, talking DJI_20260903085343_0971_D.MP4",DJI_20260903085343_0971_D.MP4
Gym and Fitness\GYM-00 Gym mirror selfie DJI_20260904070815_0972_D.MP4,DJI_20260904070815_0972_D.MP4
Bicycle\BIK-00 Riding selfie DJI_20260904071730_0973_D.MP4,DJI_20260904071730_0973_D.MP4
"Bicycle\BIK-00 Riding selfie, looking up DJI_20260904071930_0974_D.MP4",DJI_20260904071930_0974_D.MP4
Bicycle\BIK-00 Riding selfie 2 DJI_20260904072034_0975_D.MP4,DJI_20260904072034_0975_D.MP4
Gym and Fitness\GYM-00 Gym mirror selfie 2 DJI_20260904073525_0976_D.MP4,DJI_20260904073525_0976_D.MP4
Gym and Fitness\GYM-00 Stretching DJI_20260904073906_0977_D.MP4,DJI_20260904073906_0977_D.MP4
Gym and Fitness\GYM-00 Warm-up wide DJI_20260904074230_0978_D.MP4,DJI_20260904074230_0978_D.MP4
Gym and Fitness\GYM-00 Dumbbell seated DJI_20260904074542_0979_D.MP4,DJI_20260904074542_0979_D.MP4
Gym and Fitness\GYM-00 Dumbbell seated 2 DJI_20260904074647_0980_D.MP4,DJI_20260904074647_0980_D.MP4
Gym and Fitness\GYM-00 Incline bench sit-ups DJI_20260904075301_0981_D.MP4,DJI_20260904075301_0981_D.MP4
Gym and Fitness\GYM-00 Incline bench 2 DJI_20260904075725_0982_D.MP4,DJI_20260904075725_0982_D.MP4
Gym and Fitness\GYM-00 Dumbbell bench press DJI_20260904075935_0983_D.MP4,DJI_20260904075935_0983_D.MP4
Gym and Fitness\GYM-00 Dumbbell curls DJI_20260904080512_0984_D.MP4,DJI_20260904080512_0984_D.MP4
